"study_ID","measured_response_variable","measured_response_comments","reported_units"
"4220_g","mean change in biomass of graminoids 2003 to 2006",NA,"g/m2"
"4220_h","mean change in biomass of forbs 2003 to 2006",NA,"g/m2"
"4418_a","live leaf length","Alopecurus borealis","mm"
"4418_b","live leaf length","Dupontia fisheri","mm"
"4418_c","growth rate","Alopecurus borealis","mm / day"
"4418_d","growth rate","Dupontia fisheri","mm / day"
"4418_e","leaf production","Alopecurus borealis","mm"
"4418_f","leaf production","Dupontia fisheri","mm"
"4472_a","dieback of shoots","Salix herbacea","mm from shoot tip"
"4472_b","mortality of leading shoots","Salix herbacea","%"
"4472_c","mortality of ramets","Salix herbacea","%"
"4472_d","leaf biomass","Salix herbacea","mg"
"4472_e","nr of leaves","Salix herbacea","nr of leaves"
"4472_f","nr runners","Salix herbacea","nr runners"
"4472_g","nr ramets belonging to the same rhizome","Salix herbacea","nr ramets"
"4748_a","cover of Eriophorum angustifolium",NA,"%"
"4748_b","cover of other graminoids","Carex aquatilis and Arctagrostis latifolia","%"
"4748_c","underground biomass of Eriophorum angustifolium","site 1","g/0.25m2"
"4748_d","underground biomass of Eriophorum angustifolium","site 2","g/0.25m2"
"4810_a","cover of live Poa arctica",NA,"%"
"4810_b","cover of dead Poa arctica",NA,"%"
"4810_c","shoot number","Poa arctica","shoots/m2"
"4810_d","total leaf length","Poa arctica","mm"
"4810_e","leaves per shoot","Poa arctica","nr leaves"
"4810_f","leaf width","Poa arctica","mm"
"4810_g","inflorescences of Poa arctica",NA,"nr inflorescences/m2"
"4810_h","cover of dicots",NA,"%"
"4810_i","inflorescences of dicots",NA,"nr inflorescences/m2"
"4810_j","N fixing activity",NA,"nanomol C2H4/hr cm2"
"4810_k","cover of live Poa arctica",NA,"%"
"4810_l","cover of dead Poa arctica",NA,"%"
"4810_m","shoot number","Poa arctica","shoots/m2"
"4810_n","total leaf length","Poa arctica","mm"
"4810_o","leaves per shoot","Poa arctica","nr leaves"
"4810_p","leaf width","Poa arctica","mm"
"4810_q","inflorescences of Poa arctica",NA,"nr inflorescences/m2"
"4810_r","cover of dicots",NA,"%"
"4810_s","inflorescences of dicots",NA,"nr inflorescences/m2"
"4810_t","N fixing activity",NA,"nanomol C2H4/hr cm2"
"5049_a","percent cover of sedges",NA,"percentage"
"5049_b","percent cover of sedges",NA,"percentage"
"5049_c","percent cover of sedges",NA,"percentage"
"5049_d","percent cover of sedges",NA,"percentage"
"5049_e","percent cover of grasses",NA,"percentage"
"5049_f","percent cover of grasses",NA,"percentage"
"5049_g","percent cover of grasses",NA,"percentage"
"5049_h","percent cover of grasses",NA,"percentage"
"5049_i","percent cover of forbs and shrubs",NA,"percentage"
"5049_j","percent cover of forbs and shrubs",NA,"percentage"
"5049_k","percent cover of forbs and shrubs",NA,"percentage"
"5049_l","percent cover of forbs and shrubs",NA,"percentage"
"5049_m","height of sedges",NA,"cm"
"5049_n","height of sedges",NA,"cm"
"5049_o","height of sedges",NA,"cm"
"5049_p","height of grasses",NA,"cm"
"5049_q","height of grasses",NA,"cm"
"5049_r","height of grasses",NA,"cm"
"5049_s","height of grasses",NA,"cm"
"5049_t","height of forbs and shrubs",NA,"cm"
"5049_u","height of forbs and shrubs",NA,"cm"
"5049_v","height of forbs and shrubs",NA,"cm"
"5049_w","height of forbs and shrubs",NA,"cm"
"5049_x","density of sedges",NA,"individual/m2"
"5049_y","density of sedges",NA,"individual/m2"
"5049_z","density of grasses",NA,"individual/m2"
"5049_aa","density of grasses",NA,"individual/m2"
"5049_ab","density of grasses",NA,"individual/m2"
"5049_ac","density of grasses",NA,"individual/m2"
"5049_ad","density of forbs and shrubs",NA,"individual/m2"
"5049_ae","density of forbs and shrubs",NA,"individual/m2"
"5049_af","density of forbs and shrubs",NA,"individual/m2"
"5049_ag","density of forbs and shrubs",NA,"individual/m2"
"5049_ah","biomass of sedges",NA,"g/m2"
"5049_ai","biomass of sedges",NA,"g/m2"
"5049_aj","biomass of grasses",NA,"g/m2"
"5049_ak","biomass of grasses",NA,"g/m2"
"5049_al","biomass of grasses",NA,"g/m2"
"5049_am","biomass of grasses",NA,"g/m2"
"5049_an","biomass of forbs and shrubs",NA,"g/m2"
"5049_ao","biomass of forbs and shrubs",NA,"g/m2"
"5084_a","acetylene reduction activity",NA,"micromol/m2*hr"
"5084_b","acetylene reduction activity -- surface",NA,"micromol/m2*hr"
"5084_c","acetylene reduction activity --0-5 cm",NA,"micromol/m2*hr"
"5084_d","acetylene reduction activity -- 5-10 cm",NA,"micromol/m2*hr"
"5090_a","standing crop",NA,"g/0.1 m2"
"5090_b","standing crop",NA,"g/0.1 m2"
"5090_c","standing crop",NA,"g/0.1 m2"
"5090_d","standing crop",NA,"g/0.1 m2"
"5090_e","leaf length of arrowgrass","Triglochin palustris","mm"
"5090_f","leaf length of arrowgrass","Triglochin palustris","mm"
"5096_a","leaf production","Carex subspathacea","nr of leaves"
"5096_b","leaf deaths","Carex subspathacea","nr of leaves"
"5124_a","nitrogenase activity","measured between 8:00-11:30","micromol acetylene reduced /m2h"
"5124_b","nitrogenase activity","measured between 12:00-15:30","micromol acetylene reduced /m2h"
"5124_c","nitrogenase activity","measured between 16:00-19:30","micromol acetylene reduced /m2h"
"5124_d","nitrogenase activity","measured between 8:00-11:30","micromol acetylene reduced /m2h"
"5124_e","nitrogenase activity","measured between 12:00-15:30","micromol acetylene reduced /m2h"
"5124_f","nitrogenase activity","measured between 16:00-19:30","micromol acetylene reduced /m2h"
"5124_g","exchangeable ammonium ions",NA,"microg ammonium per g of dried sediment"
"5124_h","C/N ratio","soil","ratio"
"5124_i","%N content","soil","percentage"
"5253_a","shoot biomass","Carex aquatilis","g"
"5253_b","root biomass","Carex aquatilis","g"
"5253_c","root:shoot ratio","Carex aquatilis","ratio"
"5253_d","height","Carex aquatilis","cm"
"5253_e","N content of live shoots","Carex aquatilis","%"
"5253_f","C:N ratio of live shoots","Carex aquatilis","%"
"5253_g","N content of shoot bases","Carex aquatilis","%"
"5253_h","C:N ratio of shoot bases","Carex aquatilis","%"
"5253_i","N content of roots","Carex aquatilis","%"
"5253_j","C:N ratio of roots","Carex aquatilis","%"
"5253_k","N content of rhizomes","Carex aquatilis","%"
"5253_l","C:N ratio of rhizomes","Carex aquatilis","%"
"5253_m","microbial biomass C","soil","mg/g dw soil"
"5253_n","microbial biomass N","soil","microg/g dw soil"
"5253_o","microbial biomass P","soil","microg/g dw soil"
"5253_p","dissolved organic C","soil","mg/g dw soil"
"5253_q","dissolved ammonium","soil","microg/g dw soil"
"5253_r","dissolved organic N","soil","microg/g dw soil"
"5253_s","dissolved nitrate","soil","microg/g dw soil"
"5253_t","live shoot biomass","Puccinellia phryganodes","g/m2"
"5253_u","root biomass","Puccinellia phryganodes","g/m2"
"5253_v","root:shoot ratio","Puccinellia phryganodes",NA
"5253_w","N content live shoots","Puccinellia phryganodes","%"
"5253_x","N content roots","Puccinellia phryganodes","%"
"5253_y","C:N live shoots","Puccinellia phryganodes","%"
"5253_z","C:N roots","Puccinellia phryganodes","%"
"5253_aa","microbial biomass C","soil","mg/g dw soil"
"5253_ab","microbial biomass N","soil","microg/g dw soil"
"5253_ac","microbial biomass P","soil","microg/g dw soil"
"5253_ad","dissolved organic C","soil","mg/g dw soil"
"5253_ae","dissolved ammonium","soil","microg/g dw soil"
"5253_af","dissolved organic N","soil","microg/g dw soil"
"5253_ag","dissolved nitrate","soil","microg/g dw soil"
"5294_a","tiller density","Carex stans","tillers/m2"
"5294_b","tiller density","Salix arctica","tillers/m2"
"5294_c","tiller density","Dupontia psilosantha","tillers/m2"
"5294_d","tiller density","Eriophorum scheuzeri","tillers/m2"
"5294_e","tiller density","Equisetum spp","tillers/m2"
"5294_f","net ecosystem exchange (NEE)",NA,"mg CO2 / m2 h"
"5294_g","photosynthesis (GPP)",NA,"mg CO2 / m2 h"
"5294_h","respiration (Reco))",NA,"mg CO2 / m2 h"
"5294_i","water table depth",NA,"cm below peat surface"
"5294_j","CH4 flux",NA,"mg CH4 / m2 h"
"5294_k","soil water CH4",NA,"mg CH4/ l"
"5294_l","belowground biomass of moss-dominated soil layer","biomass of the functional soil horizon dominated by moss","g/cm3"
"5294_m","belowground biomass of large root-dominated soil layer","biomass of the functional soil horizon dominated by large roots","g/cm3"
"5294_n","belowground biomass of thin root-dominated soil layer","biomass of the functional soil horizon dominated by thin roots","g/cm3"
"5294_o","thickness of moss-dominated soil layer","thickness of the functional soil horizon dominated by moss","cm"
"5294_p","thickness of large root-dominated soil layer","thickness of the functional soil horizon dominated by large roots","cm"
"5294_q","thickness of thin root-dominated soil layer","thickness of the functional soil horizon dominated by thin roots","cm"
"5321_a","plant community N content","WE","% dw"
"5321_b","plant community N content","MO","% dw"
"5321_c","plant community N content","ME","% dw"
"5321_d","plant community N pool","WE","g/m2"
"5321_e","plant community N pool","MO","g/m2"
"5321_f","plant community N pool","ME","g/m2"
"5321_g","functional type N content -- forbs","WE","% dw"
"5321_h","functional type N content -- grasses","WE","% dw"
"5321_i","functional type N content -- sedges","WE","% dw"
"5321_j","functional type N content -- deciduous shrubs","WE","% dw"
"5321_k","functional type N content -- horsetails","WE","% dw"
"5321_l","functional type N content -- forbs","MO","% dw"
"5321_m","functional type N content -- grasses","MO","% dw"
"5321_n","functional type N content -- deciduous shrubs","MO","% dw"
"5321_o","functional type N content -- horsetails","MO","% dw"
"5321_p","functional type N content -- forbs","ME","% dw"
"5321_q","functional type N content -- grasses","ME","% dw"
"5321_r","functional type N content -- rushes","ME","% dw"
"5321_s","functional type N content -- deciduous shrubs","ME","% dw"
"5321_t","functional type N content -- evergreen shrubs","ME","% dw"
"5321_u","functional type N content -- horsetails","ME","% dw"
"5321_v","average temperature in moss mat","WE","°C"
"5321_w","average temperature in moss mat","MO","°C"
"5321_x","average temperature in moss mat","ME","°C"
"5321_y","average temperature in vascular plant rooting zone","WE","°C"
"5321_z","average temperature in vascular plant rooting zone","MO","°C"
"5321_aa","average temperature in vascular plant rooting zone","ME","°C"
"5321_ab","plant community P content","WE","% dw"
"5321_ac","plant community P content","MO","% dw"
"5321_ad","plant community P content","ME","% dw"
"5321_ae","plant community P pool","WE","g/m2"
"5321_af","plant community P pool","MO","g/m2"
"5321_ag","plant community P pool","ME","g/m2"
"5321_ah","functional type P content -- forbs","WE","% dw"
"5321_ai","functional type P content -- grasses","WE","% dw"
"5321_aj","functional type P content -- sedges","WE","% dw"
"5321_ak","functional type P content -- deciduous shrubs","WE","% dw"
"5321_al","functional type P content -- horsetails","WE","% dw"
"5321_am","functional type P content -- forbs","MO","% dw"
"5321_an","functional type P content -- grasses","MO","% dw"
"5321_ao","functional type P content -- deciduous shrubs","MO","% dw"
"5321_ap","functional type P content -- horsetails","MO","% dw"
"5321_aq","functional type P content -- forbs","ME","% dw"
"5321_ar","functional type P content -- grasses","ME","% dw"
"5321_as","functional type P content -- rushes","ME","% dw"
"5321_at","functional type P content -- deciduous shrubs","ME","% dw"
"5321_au","functional type P content -- evergreen shrubs","ME","% dw"
"5321_av","functional type P content -- horsetails","ME","% dw"
"5321_aw","life leaf biomass -- horsetails","WE","g/m2"
"5321_ax","life leaf biomass -- deciduous shrubs","WE","g/m2"
"5321_ay","life leaf biomass -- sedges","WE","g/m2"
"5321_az","life leaf biomass -- grasses","WE","g/m2"
"5321_ba","life leaf biomass -- forbs","WE","g/m2"
"5321_bb","life leaf biomass -- total","WE","g/m2"
"5321_bc","life leaf biomass -- horsetails","MO","g/m2"
"5321_bd","life leaf biomass -- deciduous shrubs","MO","g/m2"
"5321_be","life leaf biomass -- grasses","MO","g/m2"
"5321_bf","life leaf biomass -- forbs","MO","g/m2"
"5321_bg","life leaf biomass -- total","MO","g/m2"
"5321_bh","life leaf biomass -- horsetails","ME","g/m2"
"5321_bi","life leaf biomass -- evergreen shrubs","ME","g/m2"
"5321_bj","life leaf biomass -- deciduous shrubs","ME","g/m2"
"5321_bk","life leaf biomass -- rushes","ME","g/m2"
"5321_bl","life leaf biomass -- grasses","ME","g/m2"
"5321_bm","life leaf biomass -- forbs","ME","g/m2"
"5321_bn","life leaf biomass -- total","ME","g/m2"
"5321_bo","Si content in silica-rich grasses",NA,"% dw"
"5321_bp","Si content in silica-rich grasses",NA,"% dw"
"5321_bq","Si content in silica-rich grasses",NA,"% dw"
"5321_br","N content in silica-rich grasses",NA,"% dw"
"5321_bs","N content in silica-rich grasses",NA,"% dw"
"5321_bt","N content in silica-rich grasses",NA,"% dw"
"5321_bu","P content in silica-rich grasses",NA,"% dw"
"5321_bv","P content in silica-rich grasses",NA,"% dw"
"5321_bw","P content in silica-rich grasses",NA,"% dw"
"5321_bx","Si content in silica-poor grasses",NA,"% dw"
"5321_by","Si content in silica-poor grasses",NA,"% dw"
"5321_bz","Si content in silica-poor grasses",NA,"% dw"
"5321_ca","N content in silica-poor grasses",NA,"% dw"
"5321_cb","N content in silica-poor grasses",NA,"% dw"
"5321_cc","N content in silica-poor grasses",NA,"% dw"
"5321_cd","P content in silica-poor grasses",NA,"% dw"
"5321_ce","P content in silica-poor grasses",NA,"% dw"
"5321_cf","P content in silica-poor grasses",NA,"% dw"
"5321_cg","Si:N in silica-rich grasses",NA,"% dw"
"5321_ch","Si:N in silica-rich grasses",NA,"% dw"
"5321_ci","Si:N in silica-rich grasses",NA,"% dw"
"5321_cj","Si:P in silica-rich grasses",NA,"% dw"
"5321_ck","Si:P in silica-rich grasses",NA,"% dw"
"5321_cl","Si:P in silica-rich grasses",NA,"% dw"
"5321_cm","Si:N in silica-poor grasses",NA,"% dw"
"5321_cn","Si:N in silica-poor grasses",NA,"% dw"
"5321_co","Si:N in silica-poor grasses",NA,"% dw"
"5321_cp","Si:P in silica-poor grasses",NA,"% dw"
"5321_cq","Si:P in silica-poor grasses",NA,"% dw"
"5321_cr","Si:P in silica-poor grasses",NA,"% dw"
"5382_a","proportion of maximum root growth","based on standing crop","proportion"
"5382_b","proportion of maximum shoot growth","based on NDVI","proportion"
"5503_a","Mass loss of green tea","For decomposition rates. heath","%"
"5503_b","Mass loss of green tea","For decomposition rates. Barren","%"
"5503_c","Mass loss of green tea","For decomposition rates. heath","%"
"5503_d","Mass loss of green tea","For decomposition rates. Barren","%"
"5503_e","Mass loss of roiboos tea","For decomposition rates. heath","%"
"5503_f","Mass loss of roiboos tea","For decomposition rates. Barren","%"
"5503_g","Mass loss of roiboos tea","For decomposition rates. heath","%"
"5503_h","Mass loss of roiboos tea","For decomposition rates. Barren","%"
"5503_i","Stabilisation factor (S)","For decomposition rates. heath","unitless"
"5503_j","Stabilisation factor (S)","For decomposition rates. Barren","unitless"
"5503_k","Stabilisation factor (S)","For decomposition rates. heath","unitless"
"5503_l","Stabilisation factor (S)","For decomposition rates. Barren","unitless"
"5503_m","Decomposition rate (K)","heath","unitless"
"5503_n","Decomposition rate (K)","Barren","unitless"
"5503_o","Decomposition rate (K)","heath","unitless"
"5503_p","Decomposition rate (K)","Barren","unitless"
"5506_a","moss layer depth","moss layer depth in all plots","cm"
"5506_b","moss layer depth","moss layer depth in east slope","cm"
"5506_c","moss layer depth","moss layer depth in west slope","cm"
"5506_d","moss layer depth","moss layer depth in high elevation","cm"
"5506_e","moss layer depth","moss layer depth in low elevation","cm"
"5506_f","moss layer depth","moss layer depth in concave growing conditions","cm"
"5506_g","moss layer depth","moss layer depth in convex growing conditions","cm"
"5506_h","bryophyte species richness","species richness in all plots",NA
"5506_i","bryophyte species richness","species richness in east facing slopes",NA
"5506_j","bryophyte species richness","species richness in west facing slopes",NA
"5506_k","bryophyte species richness","species richness in high elevation",NA
"5506_l","bryophyte species richness","species richness in low elevation",NA
"5506_m","bryophyte species richness","species richness in concave growing conditions",NA
"5506_n","bryophyte species richness","species richness in convex growing conditions",NA
"5506_o","bryophyte diversity (Shannon index)","all plots",NA
"5506_p","bryophyte diversity (Shannon index)","east facing slopes",NA
"5506_q","bryophyte diversity (Shannon index)","west facing slopes",NA
"5506_r","bryophyte diversity (Shannon index)","high elevations",NA
"5506_s","bryophyte diversity (Shannon index)","low elevations",NA
"5506_t","bryophyte diversity (Shannon index)","concave",NA
"5506_u","bryophyte diversity (Shannon index)","convex",NA
"5506_v","bryophyte diversity (Gini-Simpson index)","all plots",NA
"5506_w","bryophyte diversity (Gini-Simpson index)","east facing slopes",NA
"5506_x","bryophyte diversity (Gini-Simpson index)","west facing slopes",NA
"5506_y","bryophyte diversity (Gini-Simpson index)","high elevations",NA
"5506_z","bryophyte diversity (Gini-Simpson index)","low elevations",NA
"5506_aa","bryophyte diversity (Gini-Simpson index)","concave",NA
"5506_ab","bryophyte diversity (Gini-Simpson index)","convex",NA
"5674_a","Na concentration of extracted soil water","proxy for salinity","g Na / l"
"5674_b","Na concentration of extracted soil water","proxy for salinity","g Na / l"
"5674_c","Na concentration of extracted soil water","proxy for salinity","g Na / l"
"5674_d","Aboveground biomass",NA,"g dry weight / m2"
"5674_e","Aboveground biomass",NA,"g dry weight / m2"
"5674_f","plant mortality","Puccinellia phryganodes","percent"
"5674_g","plant mortality","Puccinellia phryganodes","percent"
"5674_h","plant mortality","Puccinellia phryganodes","percent"
"5674_i","total leaf birth rate","Puccinellia phryganodes","leaf births/plant/day"
"5674_j","total leaf birth rate","Puccinellia phryganodes","leaf births/plant/day"
"5674_k","total leaf birth rate","Puccinellia phryganodes","leaf births/plant/day"
"5674_l","total leaf death rate","Puccinellia phryganodes","leaf deaths/plant/day"
"5674_m","total leaf death rate","Puccinellia phryganodes","leaf deaths/plant/day"
"5674_n","total leaf death rate","Puccinellia phryganodes","leaf deaths/plant/day"
"5674_o","soil water content",NA,"(g water/ g soil)"
"5674_p","soil water content",NA,"(g water/ g soil)"
"5674_q","soil water content",NA,"(g water/ g soil)"
"5674_r","soil bulk density",NA,"(g/cm3)"
"5674_s","soil bulk density",NA,"(g/cm3)"
"5674_t","soil bulk density",NA,"(g/cm3)"
"5674_u","soil redox potential",NA,"mV"
"5674_v","soil redox potential",NA,"mV"
"5674_w","soil redox potential",NA,"mV"
"5757_a","soil moisture","volumetric water content","%"
"5757_b","soil moisture","volumetric water content","%"
"5757_c","soil moisture","volumetric water content","%"
"5757_d","moss mat temperature",NA,"°C"
"5757_e","moss mat temperature",NA,"°C"
"5757_f","moss mat temperature",NA,"°C"
"5757_g","C content in vascular plants",NA,"%"
"5757_h","C content in mossess",NA,"%"
"5757_i","C content in soils",NA,"%"
"5757_j","N content in vascular plants",NA,"%"
"5757_k","N content in mossess",NA,"%"
"5757_l","N content in soils",NA,"%"
"5757_m","C:N ratio in vascular plants",NA,"ratio"
"5757_n","C:N ratio in mossess",NA,"ratio"
"5757_o","C:N ratio in soils",NA,"ratio"
"5757_p","C content in vascular plants",NA,"%"
"5757_q","C content in mossess",NA,"%"
"5757_r","C content in soils",NA,"%"
"5757_s","N content in vascular plants",NA,"%"
"5757_t","N content in mossess",NA,"%"
"5757_u","N content in soils",NA,"%"
"5757_v","C:N ratio in vascular plants",NA,"ratio"
"5757_w","C:N ratio in mossess",NA,"ratio"
"5757_x","C:N ratio in soils",NA,"ratio"
"5757_y","C content in vascular plants",NA,"%"
"5757_z","C content in mossess",NA,"%"
"5757_aa","C content in soils",NA,"%"
"5757_ab","N content in vascular plants",NA,"%"
"5757_ac","N content in mossess",NA,"%"
"5757_ad","N content in soils",NA,"%"
"5757_ae","C:N ratio in vascular plants",NA,"ratio"
"5757_af","C:N ratio in mossess",NA,"ratio"
"5757_ag","C:N ratio in soils",NA,"ratio"
"5765_a","abundance of ground beetles","Carabus glabratus","nr individuals"
"5765_b","abundance of ground beetles","Miscodera arctica","nr individuals"
"5765_c","abundance of ground beetles","Amara brunnea","nr individuals"
"5765_d","abundance of ground beetles","Notiophilus germinyi","nr individuals"
"5765_e","abundance of ground beetles","Cymindis vaporarium","nr individuals"
"5765_f","abundance of ground beetles","Amara alpina","nr individuals"
"5765_g","abundance of ground beetles","Otiorhynchus nodosus","nr individuals"
"5765_h","abundance of ground beetles","Polydrusus fuvicornis","nr individuals"
"5765_i","abundance of ground beetles","Calathus micropterus","nr individuals"
"5765_j","abundance of ground beetles","Calathus melanocephalus","nr individuals"
"5765_k","abundance of ground beetles","Miscodera arctica","nr individuals"
"5765_l","abundance of ground beetles","Amara brunnea","nr individuals"
"5765_m","abundance of ground beetles","Notiophilus germinyi","nr individuals"
"5765_n","abundance of ground beetles","Amara alpina","nr individuals"
"5765_o","abundance of ground beetles","Amara lunicollis","nr individuals"
"5765_p","abundance of ground beetles","Otiorhynchus nodosus","nr individuals"
"5812_a","percent initial mass remaining","litter of Eriophorum vaginatum","%"
"5812_b","percent initial mass remaining","litter of Hierochloe alpina","%"
"5812_c","decomposition constant (k)","litter of Eriophorum vaginatum","1/day"
"5812_d","decomposition constant (k)","litter of Hierochloe alpina","1/day"
"5812_e","percent initial C remaining","litter of Eriophorum vaginatum","%"
"5812_f","percent initial C remaining","litter of Hierochloe alpina","%"
"5812_g","percent initial N remaining","litter of Eriophorum vaginatum","%"
"5812_h","percent initial N remaining","litter of Hierochloe alpina","%"
"5812_i","molar C:N","litter of Eriophorum vaginatum","ratio"
"5812_j","molar C:N","litter of Hierochloe alpina","ratio"
"5815_a","soil water volumetric content",NA,"percentage"
"5815_b","thaw depth",NA,"cm"
"5815_c","soil temperature",NA,"°C"
"5815_d","N content","Betula spp.","%"
"5815_e","N content","Salix spp.","%"
"5815_f","delta15N","Betula spp.","(no units reported)"
"5815_g","delta15N","Salix spp.","(no units reported)"
"5815_h","soil log10 %N",NA,"%"
"5815_i","soil 15N",NA,"(no units reported)"
"5816_a","standing crop of live vascular plants",NA,"g/m2"
"5816_b","standing crop of dead vascular plants",NA,"g/m2"
"5816_c","lichen standing crop",NA,"g/m2"
"5816_d","moss standing crop",NA,"g/m2"
"5816_e","litter standing crop",NA,"g/m2"
"5816_f","leaf:shoot ratio in Ledum decumbens",NA,"ratio"
"5816_g","leaf:shoot ratio in Vaccinium vitis-idaea",NA,"ratio"
"5816_h","leaf:shoot ratio in Vaccinium uliginosum",NA,"ratio"
"5816_i","number of hits of live vascular plants per plot","out of 100 pins (multiple hits per pin) --> measure of abundance","nr of hits"
"5816_j","diversity of live vascular plants","Shannon's diversity index","Shannon's diversity index"
"5816_k","number of hits of dead vascular plants per plot","out of 100 pins (multiple hits per pin) --> measure of abundance","nr of hits"
"5816_l","diversity of dead vascular plants","Shannon's diversity index","Shannon's diversity index"
"5816_m","number of hits of lichens per plot","out of 100 pins (multiple hits per pin) --> measure of abundance","nr of hits"
"5816_n","diversity of lichens","Shannon's diversity index","Shannon's diversity index"
"5816_o","net ecosystem production",NA,"micromol CO2/m2 s"
"5816_p","gross ecosystem production",NA,"micromol CO2/m2 s"
"5816_q","ecosystem respiration",NA,"micromol CO2/m2 s"
"5816_r","soil moisture","volumetric water content","%"
"5816_s","soil temperature",NA,"°C"
"5816_t","soil temperature",NA,"°C"
"5816_u","soil temperature",NA,"°C"
"5816_v","soil temperature",NA,"°C"
"5816_w","soil moisture",NA,"%"
"5816_x","soil moisture",NA,"%"
"5816_y","soil moisture",NA,"%"
"5816_z","ecosystem respiration",NA,"micromol CO2/m2 s"
"5816_aa","ecosystem respiration",NA,"micromol CO2/m2 s"
"5816_ab","ecosystem respiration",NA,"micromol CO2/m2 s"
"5816_ac","live biomass",NA,"g/m2"
"5816_ad","live biomass",NA,"g/m2"
"5816_ae","live biomass",NA,"g/m2"
"5816_af","dead plant standing crop",NA,"g/m2"
"5816_ag","dead plant standing crop",NA,"g/m2"
"5816_ah","dead plant standing crop",NA,"g/m2"
"5816_ai","litter standing crop",NA,"g/m2"
"5816_aj","litter standing crop",NA,"g/m2"
"5816_ak","litter standing crop",NA,"g/m2"
"5816_al","lichen biomass",NA,"g/m2"
"5816_am","lichen biomass",NA,"g/m2"
"5816_an","lichen biomass",NA,"g/m2"
"5816_ao","moss biomass",NA,"g/m2"
"5816_ap","moss biomass",NA,"g/m2"
"5816_aq","moss biomass",NA,"g/m2"
"5819_a","net primary production of graminoids",NA,"g/m2yr"
"5819_b","net primary production total",NA,"g/m2yr"
"5819_c","aboveground biomass",NA,"g/m2"
"5819_d","non-green standing crop",NA,"g/m2"
"5819_e","dead standing crop",NA,"g/m2"
"5819_f","total standing crop",NA,"g/m2"
"5819_g","belowground standing crop",NA,"g/m2"
"5819_h","belowground live standing crop",NA,"g/m2"
"5819_i","shoot N concentration","Carex stans","%"
"5819_j","shoot N concentration","Eriophorum triste","%"
"5819_k","shoot N concentration","Salix arctica","%"
"5819_l","shoot C concentration","Carex stans","%"
"5819_m","shoot C concentration","Eriophorum triste","%"
"5819_n","shoot C concentration","Salix arctica","%"
"5819_o","nitrate supply rate","measured w PRS probes","microg /10 cm2 24 hr"
"5819_p","ammonium supply rate","measured w PRS probes","microg /10 cm2 24 hr"
"5819_q","ecosystem respiration rate",NA,"micromol CO2/m2 s"
"5822_a","aboveground standing crop","exclosure erected in 1979","g dw / m2"
"5822_b","aboveground standing crop","exclosure erected in 1980","g dw / m2"
"5822_c","aboveground standing crop","exclosure erected in 1981","g dw / m2"
"5822_d","aboveground standing crop","exclosure erected in 1982","g dw / m2"
"5822_e","aboveground standing crop","exclosure erected in 1983","g dw / m2"
"5822_f","aboveground standing crop","exclosure erected in 1984","g dw / m2"
"5822_g","litter and standing dead material","exclosure erected in 1979","g dw / m2"
"5822_h","litter and standing dead material","exclosure erected in 1980","g dw / m2"
"5822_i","litter and standing dead material","exclosure erected in 1981","g dw / m2"
"5822_j","litter and standing dead material","exclosure erected in 1982","g dw / m2"
"5822_k","litter and standing dead material","exclosure erected in 1983","g dw / m2"
"5822_l","litter and standing dead material","exclosure erected in 1984","g dw / m2"
"5832_a","aboveground biomass",NA,"g dw / m2"
"5832_b","litter and standing dead",NA,"g dw / m2"
"5832_c","N content of live shoots","Puccinellia phryganodes","% of dry weight"
"5832_d","N content of live shoots","Carex subspathacea","% of dry weight"
"5832_e","N content of live shoots","Stellaria humifusa","% of dry weight"
"5845_a","biomass productivity","site 1","d/m2day"
"5845_b","biomass productivity","site 2","d/m2day"
"5845_c","biomass productivity","site 3","d/m2day"
"5845_d","silica content","site 1","% dry matter"
"5845_e","silica content","site 2","% dry matter"
"5845_f","silica content","site 3","% dry matter"
"5845_g","N content","site 1","% dry matter"
"5845_h","N content","site 2","% dry matter"
"5845_i","N content","site 3","% dry matter"
"5848_a","number of seedlings",NA,"nr seedlings"
"5848_b","species richness of seedlings",NA,"nr species"
"5848_c","total species richness",NA,"nr species"
"5851_a","Cladina stellaris biomass",NA,"g m-2"
"5851_b","Cladina arbuscula biomass",NA,"g m-2"
"5851_c","Cladonia amaurocrea biomass",NA,"g m-2"
"5851_d","Cladonia gracillis biomass",NA,"g m-2"
"5851_e","Cladonia spp biomass",NA,"g m-2"
"5851_f","Cetraria delisei biomass",NA,"g m-2"
"5851_g","Cetraria cucullata biomass",NA,"g m-2"
"5851_h","Cetraria kamczatka biomass",NA,"g m-2"
"5851_i","Cetraria islandica biomass",NA,"g m-2"
"5851_j","Sphaerophorus globosus biomass",NA,"g m-2"
"5851_k","Stereocaulon spp. biomass",NA,"g m-2"
"5851_l","Alectoria nigricens biomass",NA,"g m-2"
"5851_m","thamnolia spp. biomass",NA,"g m-2"
"5851_n","Dactylina arctica biomass",NA,"g m-2"
"5851_o","All lichens biomass",NA,"g m-2"
"5852_a","biomass of Carex bigelowii",NA,"g dw / m2"
"5852_b","biomass of Anthoxanthum odoratum",NA,"g dw / m2"
"5852_c","biomass of Polytrichaceae mosses",NA,"g dw / m2"
"5852_d","biomass of Polytrichaceae mosses",NA,"g dw / m2"
"5852_e","biomass of graminoids",NA,"g dw / m2"
"5852_f","biomass of graminoids",NA,"g dw / m2"
